"year"|"conflictid_old"|"conflictid_new"|"actor"|"actorid"|"actorid_new"|"actor_type"|"incomp"|"region"|"gwnoloc"|"gwnoloc2"|"gwnoloc3"|"gwnoloc4"|"conflictyear"|"interm"|"postc"|"state_prev"|"ai_prev"|"hrw_prev"|"form"|"country"|"conflict_type"
2009|10|209|"Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
2010|10|209|"Government of Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
2011|10|209|"Government of Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
2012|10|209|"Government of Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
2013|10|209|"Government of Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|NA|0|"-99"|"Philippines"|"intra"
2014|10|209|"Government of Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
2015|10|209|"Government of Philippines"|840|154|1|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
1989|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
1990|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
1991|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
1992|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
1993|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
1994|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|0|NA|"-99"|"Philippines"|"intra"
1995|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|0|NA|"-99"|"Philippines"|"intra"
1996|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|0|1|0|0|0|NA|"-99"|"Philippines"|"intra"
1997|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|0|NA|"-99"|"Philippines"|"intra"
1998|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|0|1|0|0|0|NA|"-99"|"Philippines"|"intra"
1999|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|0|NA|"-99"|"Philippines"|"intra"
2000|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|0|NA|"-99"|"Philippines"|"intra"
2001|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|0|NA|"-99"|"Philippines"|"intra"
2002|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|0|NA|"-99"|"Philippines"|"intra"
2003|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|0|NA|"-99"|"Philippines"|"intra"
2004|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|0|NA|"-99"|"Philippines"|"intra"
2005|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|0|NA|"-99"|"Philippines"|"intra"
2006|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
2007|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
2008|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
2009|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
2010|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
2011|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
2012|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
2013|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|NA|0|"-99"|"Philippines"|"intra"
2014|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
2015|10|209|"CPP"|1010|169|3|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
1989|10|209|"Military Faction (forces of Honasan, Abenina & Zumel)"|1011|170|3|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
1990|10|209|"Military Faction (forces of Honasan, Abenina & Zumel)"|1011|170|3|2|3|840|0|0|0|1|0|0|0|0|0|"-99"|"Philippines"|"intra"
1991|10|209|"Military Faction (forces of Honasan, Abenina & Zumel)"|1011|170|3|2|3|840|0|0|0|0|0|1|0|0|0|"-99"|"Philippines"|"intra"
1992|10|209|"Military Faction (forces of Honasan, Abenina & Zumel)"|1011|170|3|2|3|840|0|0|0|0|0|1|0|0|0|"-99"|"Philippines"|"intra"
1993|10|209|"Military Faction (forces of Honasan, Abenina & Zumel)"|1011|170|3|2|3|840|0|0|0|0|0|1|0|0|0|"-99"|"Philippines"|"intra"
1994|10|209|"Military Faction (forces of Honasan, Abenina & Zumel)"|1011|170|3|2|3|840|0|0|0|0|0|1|0|0|NA|"-99"|"Philippines"|"intra"
1995|10|209|"Military Faction (forces of Honasan, Abenina & Zumel)"|1011|170|3|2|3|840|0|0|0|0|0|1|0|0|NA|"-99"|"Philippines"|"intra"
1989|20|218|"India"|750|141|1|1|3|750|770|0|0|1|0|0|0|0|NA|"-99"|"India, Pakistan"|"inter"
1990|20|218|"India"|750|141|1|1|3|750|770|0|0|1|0|0|0|0|NA|"-99"|"India, Pakistan"|"inter"
1991|20|218|"India"|750|141|1|1|3|750|770|0|0|1|0|0|0|0|0|"-99"|"India, Pakistan"|"inter"
1992|20|218|"India"|750|141|1|1|3|750|770|0|0|1|0|0|0|0|0|"-99"|"India, Pakistan"|"inter"
1993|20|218|"India"|750|141|1|1|3|750|770|0|0|0|1|0|0|0|0|"-99"|"India, Pakistan"|"inter"
1994|20|218|"India"|750|141|1|1|3|750|770|0|0|0|1|0|0|0|0|"-99"|"India, Pakistan"|"inter"
1995|20|218|"India"|750|141|1|1|3|750|770|0|0|0|1|0|0|0|0|"-99"|"India, Pakistan"|"inter"
1996|20|218|"India"|750|141|1|1|3|750|770|0|0|1|0|0|0|0|0|"-99"|"India, Pakistan"|"inter"
1997|20|218|"India"|750|141|1|1|3|750|770|0|0|1|0|0|0|0|0|"-99"|"India, Pakistan"|"inter"
1998|20|218|"India"|750|141|1|1|3|750|770|0|0|1|0|0|0|0|0|"-99"|"India, Pakistan"|"inter"
1999|20|218|"India"|750|141|1|1|3|750|770|0|0|1|0|0|0|0|0|"-99"|"India, Pakistan"|"inter"
2000|20|218|"India"|750|141|1|1|3|750|770|0|0|1|0|0|0|0|0|"-99"|"India, Pakistan"|"inter"
2001|20|218|"India"|750|141|1|1|3|750|770|0|0|1|0|0|0|0|0|"-99"|"India, Pakistan"|"inter"
2002|20|218|"India"|750|141|1|1|3|750|770|0|0|1|0|0|0|0|0|"-99"|"India, Pakistan"|"inter"
2003|20|218|"India"|750|141|1|1|3|750|770|0|0|1|0|0|0|0|NA|"-99"|"India, Pakistan"|"inter"
2004|20|218|"India"|750|141|1|1|3|750|770|0|0|0|0|1|0|0|0|"-99"|"India, Pakistan"|"inter"
2005|20|218|"India"|750|141|1|1|3|750|770|0|0|0|0|1|0|0|0|"-99"|"India, Pakistan"|"inter"
2006|20|218|"India"|750|141|1|1|3|750|770|0|0|0|0|1|0|0|0|"-99"|"India, Pakistan"|"inter"
2007|20|218|"India"|750|141|1|1|3|750|770|0|0|0|0|1|0|0|0|"-99"|"India, Pakistan"|"inter"
2008|20|218|"India"|750|141|1|1|3|750|770|0|0|0|0|1|0|0|0|"-99"|"India, Pakistan"|"inter"
2014|20|218|"Government of India"|750|141|1|1|3|750|770|0|0|1|0|0|0|0|0|"-99"|"India, Pakistan"|"inter"
2015|20|218|"Government of India"|750|141|1|1|3|750|770|0|0|1|0|0|0|0|0|"-99"|"India, Pakistan"|"inter"
1989|20|218|"Pakistan"|770|142|1|1|3|750|770|0|0|1|0|0|0|0|NA|"-99"|"India, Pakistan"|"inter"
1990|20|218|"Pakistan"|770|142|1|1|3|750|770|0|0|1|0|0|0|0|NA|"-99"|"India, Pakistan"|"inter"
1991|20|218|"Pakistan"|770|142|1|1|3|750|770|0|0|1|0|0|0|0|0|"-99"|"India, Pakistan"|"inter"
1992|20|218|"Pakistan"|770|142|1|1|3|750|770|0|0|1|0|0|0|0|0|"-99"|"India, Pakistan"|"inter"
1993|20|218|"Pakistan"|770|142|1|1|3|750|770|0|0|0|1|0|0|0|0|"-99"|"India, Pakistan"|"inter"
1994|20|218|"Pakistan"|770|142|1|1|3|750|770|0|0|0|1|0|0|0|0|"-99"|"India, Pakistan"|"inter"
1995|20|218|"Pakistan"|770|142|1|1|3|750|770|0|0|0|1|0|0|0|0|"-99"|"India, Pakistan"|"inter"
1996|20|218|"Pakistan"|770|142|1|1|3|750|770|0|0|1|0|0|0|0|0|"-99"|"India, Pakistan"|"inter"
1997|20|218|"Pakistan"|770|142|1|1|3|750|770|0|0|1|0|0|0|0|0|"-99"|"India, Pakistan"|"inter"
1998|20|218|"Pakistan"|770|142|1|1|3|750|770|0|0|1|0|0|0|0|0|"-99"|"India, Pakistan"|"inter"
1999|20|218|"Pakistan"|770|142|1|1|3|750|770|0|0|1|0|0|0|0|0|"-99"|"India, Pakistan"|"inter"
2000|20|218|"Pakistan"|770|142|1|1|3|750|770|0|0|1|0|0|0|0|0|"-99"|"India, Pakistan"|"inter"
2001|20|218|"Pakistan"|770|142|1|1|3|750|770|0|0|1|0|0|0|0|0|"-99"|"India, Pakistan"|"inter"
2002|20|218|"Pakistan"|770|142|1|1|3|750|770|0|0|1|0|0|0|0|0|"-99"|"India, Pakistan"|"inter"
2003|20|218|"Pakistan"|770|142|1|1|3|750|770|0|0|1|0|0|0|0|NA|"-99"|"India, Pakistan"|"inter"
2004|20|218|"Pakistan"|770|142|1|1|3|750|770|0|0|0|0|1|0|0|0|"-99"|"India, Pakistan"|"inter"
2005|20|218|"Pakistan"|770|142|1|1|3|750|770|0|0|0|0|1|0|0|0|"-99"|"India, Pakistan"|"inter"
2006|20|218|"Pakistan"|770|142|1|1|3|750|770|0|0|0|0|1|0|0|0|"-99"|"India, Pakistan"|"inter"
2007|20|218|"Pakistan"|770|142|1|1|3|750|770|0|0|0|0|1|0|0|0|"-99"|"India, Pakistan"|"inter"
2008|20|218|"Pakistan"|770|142|1|1|3|750|770|0|0|0|0|1|0|0|0|"-99"|"India, Pakistan"|"inter"
2014|20|218|"Government of Pakistan"|770|142|1|1|3|750|770|0|0|1|0|0|0|0|0|"-99"|"India, Pakistan"|"inter"
2015|20|218|"Government of Pakistan"|770|142|1|1|3|750|770|0|0|1|0|0|0|0|0|"-99"|"India, Pakistan"|"inter"
1989|22|220|"Paraguay"|150|24|1|2|5|150|0|0|0|1|0|0|0|0|NA|"-99"|"Paraguay"|"intra"
1990|22|220|"Paraguay"|150|24|1|2|5|150|0|0|0|0|0|1|0|0|NA|"-99"|"Paraguay"|"intra"
1991|22|220|"Paraguay"|150|24|1|2|5|150|0|0|0|0|0|1|0|0|0|"-99"|"Paraguay"|"intra"
1992|22|220|"Paraguay"|150|24|1|2|5|150|0|0|0|0|0|1|0|0|NA|"-99"|"Paraguay"|"intra"
1993|22|220|"Paraguay"|150|24|1|2|5|150|0|0|0|0|0|1|0|0|NA|"-99"|"Paraguay"|"intra"
1994|22|220|"Paraguay"|150|24|1|2|5|150|0|0|0|0|0|1|0|0|NA|"-99"|"Paraguay"|"intra"
1989|22|220|"Military Faction (forces of Andres Rodriguez)"|1585|724|3|2|5|150|0|0|0|1|0|0|0|0|NA|"-99"|"Paraguay"|"intra"
1990|22|220|"Military Faction (forces of Andres Rodriguez)"|1585|724|3|2|5|150|0|0|0|0|0|1|0|0|NA|"-99"|"Paraguay"|"intra"
1991|22|220|"Military Faction (forces of Andres Rodriguez)"|1585|724|3|2|5|150|0|0|0|0|0|1|0|0|0|"-99"|"Paraguay"|"intra"
1992|22|220|"Military Faction (forces of Andres Rodriguez)"|1585|724|3|2|5|150|0|0|0|0|0|1|0|0|NA|"-99"|"Paraguay"|"intra"
1993|22|220|"Military Faction (forces of Andres Rodriguez)"|1585|724|3|2|5|150|0|0|0|0|0|1|0|0|NA|"-99"|"Paraguay"|"intra"
1994|22|220|"Military Faction (forces of Andres Rodriguez)"|1585|724|3|2|5|150|0|0|0|0|0|1|0|0|NA|"-99"|"Paraguay"|"intra"
1989|23|221|"Myanmar"|775|144|1|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar"|"intra"
1990|23|221|"Myanmar"|775|144|1|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar"|"intra"
1991|23|221|"Myanmar"|775|144|1|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar"|"intra"
1992|23|221|"Myanmar"|775|144|1|1|3|775|0|0|0|1|0|0|0|1|0|"1"|"Myanmar"|"intra"
1993|23|221|"Myanmar"|775|144|1|1|3|775|0|0|0|0|1|0|0|0|0|"-99"|"Myanmar"|"intra"
1994|23|221|"Myanmar"|775|144|1|1|3|775|0|0|0|0|1|0|0|0|0|"-99"|"Myanmar"|"intra"
1995|23|221|"Myanmar"|775|144|1|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar"|"intra"
1996|23|221|"Myanmar"|775|144|1|1|3|775|0|0|0|0|1|0|0|0|0|"-99"|"Myanmar"|"intra"
1997|23|221|"Myanmar"|775|144|1|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar"|"intra"
1998|23|221|"Myanmar"|775|144|1|1|3|775|0|0|0|1|0|0|1|1|0|"1"|"Myanmar"|"intra"
1999|23|221|"Myanmar"|775|144|1|1|3|775|0|0|0|0|1|0|1|0|0|"1"|"Myanmar"|"intra"
2000|23|221|"Myanmar"|775|144|1|1|3|775|0|0|0|1|0|0|1|0|0|"1"|"Myanmar"|"intra"
2001|23|221|"Myanmar"|775|144|1|1|3|775|0|0|0|1|0|0|1|0|0|"1"|"Myanmar"|"intra"
2002|23|221|"Myanmar"|775|144|1|1|3|775|0|0|0|1|0|0|1|0|0|"1"|"Myanmar"|"intra"
2003|23|221|"Myanmar"|775|144|1|1|3|775|0|0|0|1|0|0|1|0|0|"1"|"Myanmar"|"intra"
2004|23|221|"Myanmar"|775|144|1|1|3|775|0|0|0|0|1|0|1|0|0|"1"|"Myanmar"|"intra"
2005|23|221|"Myanmar"|775|144|1|1|3|775|0|0|0|1|0|0|1|0|0|"1"|"Myanmar"|"intra"
2006|23|221|"Myanmar"|775|144|1|1|3|775|0|0|0|1|0|0|1|0|0|"1"|"Myanmar"|"intra"
2007|23|221|"Myanmar"|775|144|1|1|3|775|0|0|0|1|0|0|1|0|0|"1"|"Myanmar"|"intra"
2008|23|221|"Myanmar"|775|144|1|1|3|775|0|0|0|1|0|0|1|0|1|"1"|"Myanmar"|"intra"
2009|23|221|"Myanmar"|775|144|1|1|3|775|0|0|0|1|0|0|1|0|0|"1"|"Myanmar"|"intra"
2010|23|221|"Government of Myanmar (Burma)"|775|144|1|1|3|775|0|0|0|1|0|0|2|0|0|"1"|"Myanmar (Burma)"|"intra"
2011|23|221|"Government of Myanmar (Burma)"|775|144|1|1|3|775|0|0|0|1|0|0|3|0|0|"1"|"Myanmar (Burma)"|"intra"
2012|23|221|"Government of Myanmar (Burma)"|775|144|1|1|3|775|0|0|0|0|1|0|3|0|0|"1"|"Myanmar (Burma)"|"intra"
2013|23|221|"Government of Myanmar (Burma)"|775|144|1|1|3|775|0|0|0|1|0|0|1|0|0|"1"|"Myanmar (Burma)"|"intra"
2014|23|221|"Government of Myanmar (Burma)"|775|144|1|1|3|775|0|0|0|0|0|1|2|0|0|"1"|"Myanmar (Burma)"|"intra"
2015|23|221|"Government of Myanmar (Burma)"|775|144|1|1|3|775|0|0|0|0|0|1|2|0|0|"1"|"Myanmar (Burma)"|"intra"
1989|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar"|"intra"
1990|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar"|"intra"
1991|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar"|"intra"
1992|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar"|"intra"
1993|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|0|1|0|0|0|0|"-99"|"Myanmar"|"intra"
1994|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|0|1|0|0|0|0|"-99"|"Myanmar"|"intra"
1995|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar"|"intra"
1996|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|0|1|0|0|0|0|"-99"|"Myanmar"|"intra"
1997|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar"|"intra"
1998|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar"|"intra"
1999|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|0|1|0|0|0|0|"-99"|"Myanmar"|"intra"
2000|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar"|"intra"
2001|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar"|"intra"
2002|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar"|"intra"
2003|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar"|"intra"
2004|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|0|1|0|1|0|0|"1"|"Myanmar"|"intra"
2005|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|1|0|0|1|0|0|"1"|"Myanmar"|"intra"
2006|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar"|"intra"
2007|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar"|"intra"
2008|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar"|"intra"
2009|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar"|"intra"
2010|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar (Burma)"|"intra"
2011|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar (Burma)"|"intra"
2012|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|0|0|1|0|0|0|"-99"|"Myanmar (Burma)"|"intra"
2013|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|0|0|1|0|0|0|"-99"|"Myanmar (Burma)"|"intra"
2014|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|0|0|1|0|0|0|"-99"|"Myanmar (Burma)"|"intra"
2015|23|221|"KNU"|1021|180|3|1|3|775|0|0|0|0|0|1|0|0|0|"-99"|"Myanmar (Burma)"|"intra"
2000|23|221|"God's army"|1022|181|3|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar"|"intra"
2001|23|221|"God's army"|1022|181|3|1|3|775|0|0|0|0|0|1|0|0|0|"-99"|"Myanmar"|"intra"
2002|23|221|"God's army"|1022|181|3|1|3|775|0|0|0|0|0|1|0|0|0|"-99"|"Myanmar"|"intra"
2003|23|221|"God's army"|1022|181|3|1|3|775|0|0|0|0|0|1|0|0|0|"-99"|"Myanmar"|"intra"
2004|23|221|"God's army"|1022|181|3|1|3|775|0|0|0|0|0|1|0|0|0|"-99"|"Myanmar"|"intra"
2005|23|221|"God's army"|1022|181|3|1|3|775|0|0|0|0|0|1|0|0|0|"-99"|"Myanmar"|"intra"
2010|23|221|"DKBA 5"|1992|1107|3|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar (Burma)"|"intra"
2011|23|221|"DKBA 5"|1992|1107|3|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar (Burma)"|"intra"
2012|23|221|"DKBA 5"|1992|1107|3|1|3|775|0|0|0|0|1|0|0|0|0|"-99"|"Myanmar (Burma)"|"intra"
2013|23|221|"DKBA 5"|1992|1107|3|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar (Burma)"|"intra"
2014|23|221|"DKBA 5"|1992|1107|3|1|3|775|0|0|0|0|0|1|0|0|0|"-99"|"Myanmar (Burma)"|"intra"
2015|23|221|"DKBA 5"|1992|1107|3|1|3|775|0|0|0|0|0|1|0|0|0|"-99"|"Myanmar (Burma)"|"intra"
1989|24|222|"Myanmar"|775|144|1|1|3|775|0|0|0|0|1|0|0|0|0|"-99"|"Myanmar"|"intra"
1990|24|222|"Myanmar"|775|144|1|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar"|"intra"
1991|24|222|"Myanmar"|775|144|1|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar"|"intra"
1992|24|222|"Myanmar"|775|144|1|1|3|775|0|0|0|1|0|0|0|0|0|"-99"|"Myanmar"|"intra"
