year|conflictid_old|conflictid_new|actor|actorid|actorid_new|actor_type|type|incomp|region|gwnoloc|gwnoloc2|gwnoloc3|gwnoloc4|conflictyear|interm|postc|state_prev|ai_prev|hrw_prev|form|country
2000|6|205|KDPI|1005|164|3|3|1|2|630|0|0|0|0|0|1|0|0|0|-99|Iran
2001|6|205|KDPI|1005|164|3|3|1|2|630|0|0|0|0|0|1|0|0|0|-99|Iran
1989|10|209|Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|1|0|1, 6, 7|Philippines
1990|10|209|Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|1|0|1, 7|Philippines
1991|10|209|Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
1992|10|209|Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
1993|10|209|Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
1994|10|209|Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|0|NA|-99|Philippines
1995|10|209|Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|0|NA|-99|Philippines
1996|10|209|Philippines|840|154|1|3|2|3|840|0|0|0|0|1|0|0|0|NA|-99|Philippines
1997|10|209|Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|0|NA|-99|Philippines
1998|10|209|Philippines|840|154|1|3|2|3|840|0|0|0|0|1|0|1|0|NA|1|Philippines
1999|10|209|Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|0|NA|-99|Philippines
2000|10|209|Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|0|NA|-99|Philippines
2001|10|209|Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|0|NA|-99|Philippines
2002|10|209|Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|0|NA|-99|Philippines
2003|10|209|Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|0|NA|-99|Philippines
2004|10|209|Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|0|NA|-99|Philippines
2005|10|209|Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|1|NA|7|Philippines
2006|10|209|Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
2007|10|209|Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
2008|10|209|Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
2009|10|209|Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
2010|10|209|Government of Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
2011|10|209|Government of Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
2012|10|209|Government of Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
2013|10|209|Government of Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|NA|0|-99|Philippines
2014|10|209|Government of Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
2015|10|209|Government of Philippines|840|154|1|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
1989|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
1990|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
1991|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
1992|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
1993|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
1994|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|0|NA|-99|Philippines
1995|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|0|NA|-99|Philippines
1996|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|0|1|0|0|0|NA|-99|Philippines
1997|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|0|NA|-99|Philippines
1998|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|0|1|0|0|0|NA|-99|Philippines
1999|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|0|NA|-99|Philippines
2000|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|0|NA|-99|Philippines
2001|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|0|NA|-99|Philippines
2002|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|0|NA|-99|Philippines
2003|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|0|NA|-99|Philippines
2004|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|0|NA|-99|Philippines
2005|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|0|NA|-99|Philippines
2006|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
2007|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
2008|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
2009|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
2010|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
2011|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
2012|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
2013|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|NA|0|-99|Philippines
2014|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
2015|10|209|CPP|1010|169|3|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
1989|10|209|Military Faction (forces of Honasan, Abenina & Zumel)|1011|170|3|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
1990|10|209|Military Faction (forces of Honasan, Abenina & Zumel)|1011|170|3|3|2|3|840|0|0|0|1|0|0|0|0|0|-99|Philippines
1991|10|209|Military Faction (forces of Honasan, Abenina & Zumel)|1011|170|3|3|2|3|840|0|0|0|0|0|1|0|0|0|-99|Philippines
1992|10|209|Military Faction (forces of Honasan, Abenina & Zumel)|1011|170|3|3|2|3|840|0|0|0|0|0|1|0|0|0|-99|Philippines
1993|10|209|Military Faction (forces of Honasan, Abenina & Zumel)|1011|170|3|3|2|3|840|0|0|0|0|0|1|0|0|0|-99|Philippines
1994|10|209|Military Faction (forces of Honasan, Abenina & Zumel)|1011|170|3|3|2|3|840|0|0|0|0|0|1|0|0|NA|-99|Philippines
1995|10|209|Military Faction (forces of Honasan, Abenina & Zumel)|1011|170|3|3|2|3|840|0|0|0|0|0|1|0|0|NA|-99|Philippines
1989|20|218|India|750|141|1|2|1|3|750|770|0|0|1|0|0|0|0|NA|-99|India, Pakistan
1990|20|218|India|750|141|1|2|1|3|750|770|0|0|1|0|0|0|0|NA|-99|India, Pakistan
1991|20|218|India|750|141|1|2|1|3|750|770|0|0|1|0|0|0|0|0|-99|India, Pakistan
1992|20|218|India|750|141|1|2|1|3|750|770|0|0|1|0|0|0|0|0|-99|India, Pakistan
1993|20|218|India|750|141|1|2|1|3|750|770|0|0|0|1|0|0|0|0|-99|India, Pakistan
1994|20|218|India|750|141|1|2|1|3|750|770|0|0|0|1|0|0|0|0|-99|India, Pakistan
1995|20|218|India|750|141|1|2|1|3|750|770|0|0|0|1|0|0|0|0|-99|India, Pakistan
1996|20|218|India|750|141|1|2|1|3|750|770|0|0|1|0|0|0|0|0|-99|India, Pakistan
1997|20|218|India|750|141|1|2|1|3|750|770|0|0|1|0|0|0|0|0|-99|India, Pakistan
1998|20|218|India|750|141|1|2|1|3|750|770|0|0|1|0|0|0|0|0|-99|India, Pakistan
1999|20|218|India|750|141|1|2|1|3|750|770|0|0|1|0|0|0|0|0|-99|India, Pakistan
2000|20|218|India|750|141|1|2|1|3|750|770|0|0|1|0|0|0|0|0|-99|India, Pakistan
2001|20|218|India|750|141|1|2|1|3|750|770|0|0|1|0|0|0|0|0|-99|India, Pakistan
2002|20|218|India|750|141|1|2|1|3|750|770|0|0|1|0|0|0|0|0|-99|India, Pakistan
2003|20|218|India|750|141|1|2|1|3|750|770|0|0|1|0|0|0|0|NA|-99|India, Pakistan
2004|20|218|India|750|141|1|2|1|3|750|770|0|0|0|0|1|0|0|0|-99|India, Pakistan
2005|20|218|India|750|141|1|2|1|3|750|770|0|0|0|0|1|0|0|0|-99|India, Pakistan
2006|20|218|India|750|141|1|2|1|3|750|770|0|0|0|0|1|0|0|0|-99|India, Pakistan
2007|20|218|India|750|141|1|2|1|3|750|770|0|0|0|0|1|0|0|0|-99|India, Pakistan
2008|20|218|India|750|141|1|2|1|3|750|770|0|0|0|0|1|0|0|0|-99|India, Pakistan
2014|20|218|Government of India|750|141|1|2|1|3|750|770|0|0|1|0|0|0|0|0|-99|India, Pakistan
2015|20|218|Government of India|750|141|1|2|1|3|750|770|0|0|1|0|0|0|0|0|-99|India, Pakistan
1989|20|218|Pakistan|770|142|3|2|1|3|750|770|0|0|1|0|0|0|0|NA|-99|India, Pakistan
1990|20|218|Pakistan|770|142|3|2|1|3|750|770|0|0|1|0|0|0|0|NA|-99|India, Pakistan
1991|20|218|Pakistan|770|142|3|2|1|3|750|770|0|0|1|0|0|0|0|0|-99|India, Pakistan
1992|20|218|Pakistan|770|142|3|2|1|3|750|770|0|0|1|0|0|0|0|0|-99|India, Pakistan
1993|20|218|Pakistan|770|142|3|2|1|3|750|770|0|0|0|1|0|0|0|0|-99|India, Pakistan
1994|20|218|Pakistan|770|142|3|2|1|3|750|770|0|0|0|1|0|0|0|0|-99|India, Pakistan
1995|20|218|Pakistan|770|142|3|2|1|3|750|770|0|0|0|1|0|0|0|0|-99|India, Pakistan
1996|20|218|Pakistan|770|142|3|2|1|3|750|770|0|0|1|0|0|0|0|0|-99|India, Pakistan
1997|20|218|Pakistan|770|142|3|2|1|3|750|770|0|0|1|0|0|0|0|0|-99|India, Pakistan
1998|20|218|Pakistan|770|142|3|2|1|3|750|770|0|0|1|0|0|0|0|0|-99|India, Pakistan
1999|20|218|Pakistan|770|142|3|2|1|3|750|770|0|0|1|0|0|0|0|0|-99|India, Pakistan
2000|20|218|Pakistan|770|142|3|2|1|3|750|770|0|0|1|0|0|0|0|0|-99|India, Pakistan
2001|20|218|Pakistan|770|142|3|2|1|3|750|770|0|0|1|0|0|0|0|0|-99|India, Pakistan
2002|20|218|Pakistan|770|142|3|2|1|3|750|770|0|0|1|0|0|0|0|0|-99|India, Pakistan
2003|20|218|Pakistan|770|142|3|2|1|3|750|770|0|0|1|0|0|0|0|NA|-99|India, Pakistan
2004|20|218|Pakistan|770|142|3|2|1|3|750|770|0|0|0|0|1|0|0|0|-99|India, Pakistan
2005|20|218|Pakistan|770|142|3|2|1|3|750|770|0|0|0|0|1|0|0|0|-99|India, Pakistan
2006|20|218|Pakistan|770|142|3|2|1|3|750|770|0|0|0|0|1|0|0|0|-99|India, Pakistan
2007|20|218|Pakistan|770|142|3|2|1|3|750|770|0|0|0|0|1|0|0|0|-99|India, Pakistan
2008|20|218|Pakistan|770|142|3|2|1|3|750|770|0|0|0|0|1|0|0|0|-99|India, Pakistan
2014|20|218|Government of Pakistan|770|142|3|2|1|3|750|770|0|0|1|0|0|0|0|0|-99|India, Pakistan
2015|20|218|Government of Pakistan|770|142|3|2|1|3|750|770|0|0|1|0|0|0|0|0|-99|India, Pakistan
1989|22|220|Paraguay|150|24|1|3|2|5|150|0|0|0|1|0|0|0|0|NA|-99|Paraguay
1990|22|220|Paraguay|150|24|1|3|2|5|150|0|0|0|0|0|1|0|0|NA|-99|Paraguay
1991|22|220|Paraguay|150|24|1|3|2|5|150|0|0|0|0|0|1|0|0|0|-99|Paraguay
1992|22|220|Paraguay|150|24|1|3|2|5|150|0|0|0|0|0|1|0|0|NA|-99|Paraguay
1993|22|220|Paraguay|150|24|1|3|2|5|150|0|0|0|0|0|1|0|0|NA|-99|Paraguay
1994|22|220|Paraguay|150|24|1|3|2|5|150|0|0|0|0|0|1|0|0|NA|-99|Paraguay
1989|22|220|Military Faction (forces of Andres Rodriguez)|1585|724|3|3|2|5|150|0|0|0|1|0|0|0|0|NA|-99|Paraguay
1990|22|220|Military Faction (forces of Andres Rodriguez)|1585|724|3|3|2|5|150|0|0|0|0|0|1|0|0|NA|-99|Paraguay
1991|22|220|Military Faction (forces of Andres Rodriguez)|1585|724|3|3|2|5|150|0|0|0|0|0|1|0|0|0|-99|Paraguay
1992|22|220|Military Faction (forces of Andres Rodriguez)|1585|724|3|3|2|5|150|0|0|0|0|0|1|0|0|NA|-99|Paraguay
1993|22|220|Military Faction (forces of Andres Rodriguez)|1585|724|3|3|2|5|150|0|0|0|0|0|1|0|0|NA|-99|Paraguay
1994|22|220|Military Faction (forces of Andres Rodriguez)|1585|724|3|3|2|5|150|0|0|0|0|0|1|0|0|NA|-99|Paraguay
1989|23|221|Myanmar|775|144|1|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
1990|23|221|Myanmar|775|144|1|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
1991|23|221|Myanmar|775|144|1|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
1992|23|221|Myanmar|775|144|1|3|1|3|775|0|0|0|1|0|0|0|1|0|1|Myanmar
1993|23|221|Myanmar|775|144|1|3|1|3|775|0|0|0|0|1|0|0|0|0|-99|Myanmar
1994|23|221|Myanmar|775|144|1|3|1|3|775|0|0|0|0|1|0|0|0|0|-99|Myanmar
1995|23|221|Myanmar|775|144|1|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
1996|23|221|Myanmar|775|144|1|3|1|3|775|0|0|0|0|1|0|0|0|0|-99|Myanmar
1997|23|221|Myanmar|775|144|1|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
1998|23|221|Myanmar|775|144|1|3|1|3|775|0|0|0|1|0|0|1|1|0|1|Myanmar
1999|23|221|Myanmar|775|144|1|3|1|3|775|0|0|0|0|1|0|1|0|0|1|Myanmar
2000|23|221|Myanmar|775|144|1|3|1|3|775|0|0|0|1|0|0|1|0|0|1|Myanmar
2001|23|221|Myanmar|775|144|1|3|1|3|775|0|0|0|1|0|0|1|0|0|1|Myanmar
2002|23|221|Myanmar|775|144|1|3|1|3|775|0|0|0|1|0|0|1|0|0|1|Myanmar
2003|23|221|Myanmar|775|144|1|3|1|3|775|0|0|0|1|0|0|1|0|0|1|Myanmar
2004|23|221|Myanmar|775|144|1|3|1|3|775|0|0|0|0|1|0|1|0|0|1|Myanmar
2005|23|221|Myanmar|775|144|1|3|1|3|775|0|0|0|1|0|0|1|0|0|1|Myanmar
2006|23|221|Myanmar|775|144|1|3|1|3|775|0|0|0|1|0|0|1|0|0|1|Myanmar
2007|23|221|Myanmar|775|144|1|3|1|3|775|0|0|0|1|0|0|1|0|0|1|Myanmar
2008|23|221|Myanmar|775|144|1|3|1|3|775|0|0|0|1|0|0|1|0|1|1|Myanmar
2009|23|221|Myanmar|775|144|1|3|1|3|775|0|0|0|1|0|0|1|0|0|1|Myanmar
2010|23|221|Government of Myanmar (Burma)|775|144|1|3|1|3|775|0|0|0|1|0|0|2|0|0|1|Myanmar (Burma)
2011|23|221|Government of Myanmar (Burma)|775|144|1|3|1|3|775|0|0|0|1|0|0|3|0|0|1|Myanmar (Burma)
2012|23|221|Government of Myanmar (Burma)|775|144|1|3|1|3|775|0|0|0|0|1|0|3|0|0|1|Myanmar (Burma)
2013|23|221|Government of Myanmar (Burma)|775|144|1|3|1|3|775|0|0|0|1|0|0|1|0|0|1|Myanmar (Burma)
2014|23|221|Government of Myanmar (Burma)|775|144|1|3|1|3|775|0|0|0|0|0|1|2|0|0|1|Myanmar (Burma)
2015|23|221|Government of Myanmar (Burma)|775|144|1|3|1|3|775|0|0|0|0|0|1|2|0|0|1|Myanmar (Burma)
1989|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
1990|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
1991|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
1992|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
1993|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|0|1|0|0|0|0|-99|Myanmar
1994|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|0|1|0|0|0|0|-99|Myanmar
1995|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
1996|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|0|1|0|0|0|0|-99|Myanmar
1997|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
1998|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
1999|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|0|1|0|0|0|0|-99|Myanmar
2000|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
2001|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
2002|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
2003|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
2004|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|0|1|0|1|0|0|1|Myanmar
2005|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|1|0|0|1|0|0|1|Myanmar
2006|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
2007|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
2008|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
2009|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
2010|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar (Burma)
2011|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar (Burma)
2012|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar (Burma)
2013|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar (Burma)
2014|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar (Burma)
2015|23|221|KNU|1021|180|3|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar (Burma)
2000|23|221|God's army|1022|181|3|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
2001|23|221|God's army|1022|181|3|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
2002|23|221|God's army|1022|181|3|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
2003|23|221|God's army|1022|181|3|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
2004|23|221|God's army|1022|181|3|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
2005|23|221|God's army|1022|181|3|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
2010|23|221|DKBA 5|1992|1107|3|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar (Burma)
2011|23|221|DKBA 5|1992|1107|3|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar (Burma)
2012|23|221|DKBA 5|1992|1107|3|3|1|3|775|0|0|0|0|1|0|0|0|0|-99|Myanmar (Burma)
2013|23|221|DKBA 5|1992|1107|3|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar (Burma)
2014|23|221|DKBA 5|1992|1107|3|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar (Burma)
2015|23|221|DKBA 5|1992|1107|3|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar (Burma)
1989|24|222|Myanmar|775|144|1|3|1|3|775|0|0|0|0|1|0|0|0|0|-99|Myanmar
1990|24|222|Myanmar|775|144|1|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
1991|24|222|Myanmar|775|144|1|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
1992|24|222|Myanmar|775|144|1|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
1993|24|222|Myanmar|775|144|1|3|1|3|775|0|0|0|0|1|0|0|0|0|-99|Myanmar
1994|24|222|Myanmar|775|144|1|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
1995|24|222|Myanmar|775|144|1|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
1996|24|222|Myanmar|775|144|1|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
1997|24|222|Myanmar|775|144|1|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
1998|24|222|Myanmar|775|144|1|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
1999|24|222|Myanmar|775|144|1|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
1989|24|222|CPB|1023|182|3|3|2|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
1990|24|222|CPB|1023|182|3|3|2|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
1991|24|222|CPB|1023|182|3|3|2|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
1992|24|222|CPB|1023|182|3|3|2|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
1993|24|222|CPB|1023|182|3|3|2|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
1990|24|222|ABSDF|1026|185|3|3|2|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
1991|24|222|ABSDF|1026|185|3|3|2|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
1992|24|222|ABSDF|1026|185|3|3|2|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
1993|24|222|ABSDF|1026|185|3|3|2|3|775|0|0|0|0|1|0|0|0|0|-99|Myanmar
1994|24|222|ABSDF|1026|185|3|3|2|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
1995|24|222|ABSDF|1026|185|3|3|2|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
1996|24|222|ABSDF|1026|185|3|3|2|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
1997|24|222|ABSDF|1026|185|3|3|2|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
1998|24|222|ABSDF|1026|185|3|3|2|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
1999|24|222|ABSDF|1026|185|3|3|2|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
1991|25|223|Myanmar|775|144|1|3|1|3|775|0|0|0|1|0|0|2|0|0|1|Myanmar
1992|25|223|Myanmar|775|144|1|3|1|3|775|0|0|0|1|0|0|2|1|0|1|Myanmar
1993|25|223|Myanmar|775|144|1|3|1|3|775|0|0|0|0|1|0|0|0|0|-99|Myanmar
1994|25|223|Myanmar|775|144|1|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
1995|25|223|Myanmar|775|144|1|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
1996|25|223|Myanmar|775|144|1|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
1997|25|223|Myanmar|775|144|1|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
1998|25|223|Myanmar|775|144|1|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
1999|25|223|Myanmar|775|144|1|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
1991|25|223|ARIF|1028|186|3|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
1992|25|223|ARIF|1028|186|3|3|1|3|775|0|0|0|1|0|0|0|0|0|-99|Myanmar
1993|25|223|ARIF|1028|186|3|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
1994|25|223|ARIF|1028|186|3|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
1995|25|223|ARIF|1028|186|3|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
1996|25|223|ARIF|1028|186|3|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
1997|25|223|ARIF|1028|186|3|3|1|3|775|0|0|0|0|0|1|0|0|0|-99|Myanmar
