year|conflictid_old|conflictid_new|actor|actorid|actorid_new|actor_type|type|incomp|region|location|gwnoloc|gwnoloc2|gwnoloc3|gwnoloc4|conflictyear|interm|postc|state_prev|ai_prev|hrw_prev|form
1993|6|205|KDPI|1005|164|3|3|1|2|Iran|630|0|0|0|1|0|0|0|0|0|-99
1994|6|205|KDPI|1005|164|3|3|1|2|Iran|630|0|0|0|0|1|0|0|0|0|-99
1995|6|205|KDPI|1005|164|3|3|1|2|Iran|630|0|0|0|0|1|0|0|0|0|-99
1996|6|205|KDPI|1005|164|3|3|1|2|Iran|630|0|0|0|1|0|0|0|0|0|-99
1997|6|205|KDPI|1005|164|3|3|1|2|Iran|630|0|0|0|0|0|1|0|0|0|-99
1998|6|205|KDPI|1005|164|3|3|1|2|Iran|630|0|0|0|0|0|1|0|0|0|-99
1999|6|205|KDPI|1005|164|3|3|1|2|Iran|630|0|0|0|0|0|1|0|0|0|-99
2000|6|205|KDPI|1005|164|3|3|1|2|Iran|630|0|0|0|0|0|1|0|0|0|-99
2001|6|205|KDPI|1005|164|3|3|1|2|Iran|630|0|0|0|0|0|1|0|0|0|-99
1989|10|209|Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|1|0|1, 6, 7
1990|10|209|Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|1|0|1, 7
1991|10|209|Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1992|10|209|Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1993|10|209|Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1994|10|209|Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
1995|10|209|Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
1996|10|209|Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|0|1|0|0|0|-99|-99
1997|10|209|Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
1998|10|209|Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|0|1|0|1|0|-99|1
1999|10|209|Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
2000|10|209|Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
2001|10|209|Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
2002|10|209|Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
2003|10|209|Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
2004|10|209|Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
2005|10|209|Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|1|-99|7
2006|10|209|Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2007|10|209|Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2008|10|209|Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2009|10|209|Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2010|10|209|Government of Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2011|10|209|Government of Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2012|10|209|Government of Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2013|10|209|Government of Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|-99|0|-99
2014|10|209|Government of Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2015|10|209|Government of Philippines|840|154|1|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1989|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1990|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1991|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1992|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1993|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1994|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
1995|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
1996|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|0|1|0|0|0|-99|-99
1997|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
1998|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|0|1|0|0|0|-99|-99
1999|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
2000|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
2001|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
2002|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
2003|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
2004|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
2005|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
2006|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2007|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2008|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2009|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2010|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2011|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2012|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2013|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|-99|0|-99
2014|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2015|10|209|CPP|1010|169|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1989|10|209|Military Faction (forces of Honasan, Abenina & Zumel)|1011|170|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1990|10|209|Military Faction (forces of Honasan, Abenina & Zumel)|1011|170|3|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1991|10|209|Military Faction (forces of Honasan, Abenina & Zumel)|1011|170|3|3|2|3|Philippines|840|0|0|0|0|0|1|0|0|0|-99
1992|10|209|Military Faction (forces of Honasan, Abenina & Zumel)|1011|170|3|3|2|3|Philippines|840|0|0|0|0|0|1|0|0|0|-99
1993|10|209|Military Faction (forces of Honasan, Abenina & Zumel)|1011|170|3|3|2|3|Philippines|840|0|0|0|0|0|1|0|0|0|-99
1994|10|209|Military Faction (forces of Honasan, Abenina & Zumel)|1011|170|3|3|2|3|Philippines|840|0|0|0|0|0|1|0|0|-99|-99
1995|10|209|Military Faction (forces of Honasan, Abenina & Zumel)|1011|170|3|3|2|3|Philippines|840|0|0|0|0|0|1|0|0|-99|-99
1989|10|209|Alsa Masa/225 anti-Communist vigilante groups|8128|8128|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1990|10|209|Alsa Masa/225 anti-Communist vigilante groups|8128|8128|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1991|10|209|Alsa Masa/225 anti-Communist vigilante groups|8128|8128|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1992|10|209|Alsa Masa/225 anti-Communist vigilante groups|8128|8128|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1993|10|209|Alsa Masa/225 anti-Communist vigilante groups|8128|8128|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1994|10|209|Alsa Masa/225 anti-Communist vigilante groups|8128|8128|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1995|10|209|Alsa Masa/225 anti-Communist vigilante groups|8128|8128|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1996|10|209|Alsa Masa/225 anti-Communist vigilante groups|8128|8128|6|3|2|3|Philippines|840|0|0|0|0|1|0|0|0|0|-99
1997|10|209|Alsa Masa/225 anti-Communist vigilante groups|8128|8128|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1998|10|209|Alsa Masa/225 anti-Communist vigilante groups|8128|8128|6|3|2|3|Philippines|840|0|0|0|0|1|0|0|0|0|-99
1999|10|209|Alsa Masa/225 anti-Communist vigilante groups|8128|8128|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2000|10|209|Alsa Masa/225 anti-Communist vigilante groups|8128|8128|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2001|10|209|Alsa Masa/225 anti-Communist vigilante groups|8128|8128|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2002|10|209|Alsa Masa/225 anti-Communist vigilante groups|8128|8128|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2003|10|209|Alsa Masa/225 anti-Communist vigilante groups|8128|8128|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2004|10|209|Alsa Masa/225 anti-Communist vigilante groups|8128|8128|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2005|10|209|Alsa Masa/225 anti-Communist vigilante groups|8128|8128|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2006|10|209|Alsa Masa/225 anti-Communist vigilante groups|8128|8128|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2007|10|209|Alsa Masa/225 anti-Communist vigilante groups|8128|8128|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2008|10|209|Alsa Masa/225 anti-Communist vigilante groups|8128|8128|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2009|10|209|Alsa Masa/225 anti-Communist vigilante groups|8128|8128|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1989|10|209|Citizens Against Communism Army|8136|8136|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1990|10|209|Citizens Against Communism Army|8136|8136|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1991|10|209|Citizens Against Communism Army|8136|8136|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1992|10|209|Citizens Against Communism Army|8136|8136|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1993|10|209|Citizens Against Communism Army|8136|8136|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1994|10|209|Citizens Against Communism Army|8136|8136|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1995|10|209|Citizens Against Communism Army|8136|8136|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1996|10|209|Citizens Against Communism Army|8136|8136|6|3|2|3|Philippines|840|0|0|0|0|1|0|0|0|0|-99
1997|10|209|Citizens Against Communism Army|8136|8136|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1998|10|209|Citizens Against Communism Army|8136|8136|6|3|2|3|Philippines|840|0|0|0|0|1|0|0|0|0|-99
1999|10|209|Citizens Against Communism Army|8136|8136|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2000|10|209|Citizens Against Communism Army|8136|8136|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2001|10|209|Citizens Against Communism Army|8136|8136|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2002|10|209|Citizens Against Communism Army|8136|8136|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2003|10|209|Citizens Against Communism Army|8136|8136|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2004|10|209|Citizens Against Communism Army|8136|8136|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2005|10|209|Citizens Against Communism Army|8136|8136|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2006|10|209|Citizens Against Communism Army|8136|8136|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2007|10|209|Citizens Against Communism Army|8136|8136|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2008|10|209|Citizens Against Communism Army|8136|8136|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2009|10|209|Citizens Against Communism Army|8136|8136|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1989|10|209|Civilian Armed Forces Geographical Units|8137|8137|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|1|0|1
1990|10|209|Civilian Armed Forces Geographical Units|8137|8137|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1991|10|209|Civilian Armed Forces Geographical Units|8137|8137|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|1|0|1
1992|10|209|Civilian Armed Forces Geographical Units|8137|8137|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1993|10|209|Civilian Armed Forces Geographical Units|8137|8137|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|1|0|1
1994|10|209|Civilian Armed Forces Geographical Units|8137|8137|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
1995|10|209|Civilian Armed Forces Geographical Units|8137|8137|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
1996|10|209|Civilian Armed Forces Geographical Units|8137|8137|6|3|2|3|Philippines|840|0|0|0|0|1|0|0|0|-99|-99
1997|10|209|Civilian Armed Forces Geographical Units|8137|8137|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
1998|10|209|Civilian Armed Forces Geographical Units|8137|8137|6|3|2|3|Philippines|840|0|0|0|0|1|0|0|0|-99|-99
1999|10|209|Civilian Armed Forces Geographical Units|8137|8137|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
2000|10|209|Civilian Armed Forces Geographical Units|8137|8137|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
2001|10|209|Civilian Armed Forces Geographical Units|8137|8137|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
2002|10|209|Civilian Armed Forces Geographical Units|8137|8137|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
2003|10|209|Civilian Armed Forces Geographical Units|8137|8137|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
2004|10|209|Civilian Armed Forces Geographical Units|8137|8137|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
2005|10|209|Civilian Armed Forces Geographical Units|8137|8137|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|-99|-99
2006|10|209|Civilian Armed Forces Geographical Units|8137|8137|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2007|10|209|Civilian Armed Forces Geographical Units|8137|8137|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2008|10|209|Civilian Armed Forces Geographical Units|8137|8137|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2009|10|209|Civilian Armed Forces Geographical Units|8137|8137|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1989|10|209|El Tigre|8142|8142|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1990|10|209|El Tigre|8142|8142|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1991|10|209|El Tigre|8142|8142|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1992|10|209|El Tigre|8142|8142|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1993|10|209|El Tigre|8142|8142|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1994|10|209|El Tigre|8142|8142|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1995|10|209|El Tigre|8142|8142|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1996|10|209|El Tigre|8142|8142|6|3|2|3|Philippines|840|0|0|0|0|1|0|0|0|0|-99
1997|10|209|El Tigre|8142|8142|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1998|10|209|El Tigre|8142|8142|6|3|2|3|Philippines|840|0|0|0|0|1|0|0|0|0|-99
1999|10|209|El Tigre|8142|8142|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2000|10|209|El Tigre|8142|8142|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2001|10|209|El Tigre|8142|8142|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2002|10|209|El Tigre|8142|8142|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2003|10|209|El Tigre|8142|8142|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2004|10|209|El Tigre|8142|8142|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2005|10|209|El Tigre|8142|8142|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2006|10|209|El Tigre|8142|8142|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2007|10|209|El Tigre|8142|8142|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2008|10|209|El Tigre|8142|8142|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2009|10|209|El Tigre|8142|8142|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1989|10|209|Forward Command-FC's|8143|8143|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1990|10|209|Forward Command-FC's|8143|8143|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1991|10|209|Forward Command-FC's|8143|8143|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1992|10|209|Forward Command-FC's|8143|8143|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1993|10|209|Forward Command-FC's|8143|8143|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1994|10|209|Forward Command-FC's|8143|8143|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1995|10|209|Forward Command-FC's|8143|8143|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1996|10|209|Forward Command-FC's|8143|8143|6|3|2|3|Philippines|840|0|0|0|0|1|0|0|0|0|-99
1997|10|209|Forward Command-FC's|8143|8143|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1998|10|209|Forward Command-FC's|8143|8143|6|3|2|3|Philippines|840|0|0|0|0|1|0|0|0|0|-99
1999|10|209|Forward Command-FC's|8143|8143|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2000|10|209|Forward Command-FC's|8143|8143|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2001|10|209|Forward Command-FC's|8143|8143|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2002|10|209|Forward Command-FC's|8143|8143|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2003|10|209|Forward Command-FC's|8143|8143|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2004|10|209|Forward Command-FC's|8143|8143|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2005|10|209|Forward Command-FC's|8143|8143|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2006|10|209|Forward Command-FC's|8143|8143|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2007|10|209|Forward Command-FC's|8143|8143|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2008|10|209|Forward Command-FC's|8143|8143|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2009|10|209|Forward Command-FC's|8143|8143|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1990|10|209|Greenans|8145|8145|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1991|10|209|Greenans|8145|8145|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1992|10|209|Greenans|8145|8145|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1993|10|209|Greenans|8145|8145|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1994|10|209|Greenans|8145|8145|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1995|10|209|Greenans|8145|8145|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1996|10|209|Greenans|8145|8145|6|3|2|3|Philippines|840|0|0|0|0|1|0|0|0|0|-99
1997|10|209|Greenans|8145|8145|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1998|10|209|Greenans|8145|8145|6|3|2|3|Philippines|840|0|0|0|0|1|0|0|0|0|-99
1999|10|209|Greenans|8145|8145|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2000|10|209|Greenans|8145|8145|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2001|10|209|Greenans|8145|8145|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2002|10|209|Greenans|8145|8145|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2003|10|209|Greenans|8145|8145|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2004|10|209|Greenans|8145|8145|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2005|10|209|Greenans|8145|8145|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2006|10|209|Greenans|8145|8145|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2007|10|209|Greenans|8145|8145|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2008|10|209|Greenans|8145|8145|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2009|10|209|Greenans|8145|8145|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1989|10|209|Kadre|8150|8150|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1990|10|209|Kadre|8150|8150|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1991|10|209|Kadre|8150|8150|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1992|10|209|Kadre|8150|8150|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1993|10|209|Kadre|8150|8150|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1994|10|209|Kadre|8150|8150|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1989|10|209|Manila Crusaders for Peace and Democracy|8155|8155|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1990|10|209|Manila Crusaders for Peace and Democracy|8155|8155|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1991|10|209|Manila Crusaders for Peace and Democracy|8155|8155|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1992|10|209|Manila Crusaders for Peace and Democracy|8155|8155|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1993|10|209|Manila Crusaders for Peace and Democracy|8155|8155|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1994|10|209|Manila Crusaders for Peace and Democracy|8155|8155|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1995|10|209|Manila Crusaders for Peace and Democracy|8155|8155|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1996|10|209|Manila Crusaders for Peace and Democracy|8155|8155|6|3|2|3|Philippines|840|0|0|0|0|1|0|0|0|0|-99
1997|10|209|Manila Crusaders for Peace and Democracy|8155|8155|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
1998|10|209|Manila Crusaders for Peace and Democracy|8155|8155|6|3|2|3|Philippines|840|0|0|0|0|1|0|0|0|0|-99
1999|10|209|Manila Crusaders for Peace and Democracy|8155|8155|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2000|10|209|Manila Crusaders for Peace and Democracy|8155|8155|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2001|10|209|Manila Crusaders for Peace and Democracy|8155|8155|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2002|10|209|Manila Crusaders for Peace and Democracy|8155|8155|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2003|10|209|Manila Crusaders for Peace and Democracy|8155|8155|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
2004|10|209|Manila Crusaders for Peace and Democracy|8155|8155|6|3|2|3|Philippines|840|0|0|0|1|0|0|0|0|0|-99
